주차장관리번호,주차장명,주차장구분,주차장유형,주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,관리기관명,위도,경도
405-2-000065,아라1동 6111 공영주차장,공영,노외,제주특별자치도 제주시 아라1동 6111,42,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4764413,126.5486985
405-2-000066,삼도1동 560-2 공영주차장,공영,노외,제주특별자치도 제주시 삼도1동 560-2,31,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5030958,126.5198099
405-2-000067,이도1동 1696-9 공영주차장,공영,노외,제주특별자치도 제주시 이도1동 1696-9,12,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5060359,126.5275776
405-2-000068,용담로18길 공영주차장,공영,노외,제주특별자치도 제주시 용담1동 244-10,7,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5081637,126.5150147
405-2-000069,용화마을 공영주차장,공영,노외,제주특별자치도 제주시 용담2동 655-2,28,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5084457,126.4990864
405-2-000070,이도2동 1999-1 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 1999-1,34,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000071,이도2동 2008-1 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 2008-1,30,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000072,이도2동 2017-1 공영주차장,공영,노외,제주특별자치도 제주시 이도2동 2017-1,29,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4909191,126.5341622
405-2-000073,삼도1동 500-14 공영주차장,공영,노외,제주특별자치도 제주시 삼도1동 500-14,26,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.5030958,126.5198099
405-2-000074,연동 1458-2 공영주차장,공영,노외,제주특별자치도 제주시 연동 1458-2,17,1,미시행,평일,9:00,18:00,0:00,0:00,0:00,0:00,유료,30,1000,15,500,제주특별자치도 제주시청,33.4811719,126.4907788
